Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"FOXA1","Forkhead Box A1","Protein Coding","42","GC14M037589","3.81465363502502","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXA1"
"HTT","Huntingtin","Protein Coding","42","GC04P003041","3.81008625030518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTT"
"CXDUPQ26.3","Chromosome Xq26.3 Duplication Syndrome","Genetic Locus","2","GC0XU902043","3.80245351791382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXDUPQ26.3"
"POLG2","DNA Polymerase Gamma 2, Accessory Subunit","Protein Coding","41","GC17M064477","3.79903793334961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG2"
"FAM3B","FAM3 Metabolism Regulating Signaling Molecule B","Protein Coding","38","GC21P041304","3.79775333404541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM3B"
"HKDC1","Hexokinase Domain Containing 1","Protein Coding","40","GC10P069220","3.793940782547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HKDC1"
"BBS10","Bardet-Biedl Syndrome 10","Protein Coding","40","GC12M076344","3.79299211502075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS10"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","53","GC08M038400","3.78919744491577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"UNC13A","Unc-13 Homolog A","Protein Coding","40","GC19M017603","3.78734350204468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNC13A"
"PLAG1","PLAG1 Zinc Finger","Protein Coding","40","GC08M056218","3.78061246871948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAG1"
"CACNA1C","Calcium Voltage-Gated Channel Subunit Alpha1 C","Protein Coding","49","GC12P001970","3.77754521369934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","46","GC17M044905","3.75530529022217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"MAPK9","Mitogen-Activated Protein Kinase 9","Protein Coding","47","GC05M180244","3.75240445137024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9"
"MOG","Myelin Oligodendrocyte Glycoprotein","Protein Coding","45","GC06P073312","3.75218272209167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MOG"
"SORT1","Sortilin 1","Protein Coding","43","GC01M109310","3.75088119506836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORT1"
"AHI1","Abelson Helper Integration Site 1","Protein Coding","41","GC06M135283","3.74630784988403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1"
"POLR1C","RNA Polymerase I And III Subunit C","Protein Coding","42","GC06P073699","3.73801326751709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR1C"
"IL7R","Interleukin 7 Receptor","Protein Coding","46","GC05P035852","3.73654961585999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"PPP2R5D","Protein Phosphatase 2 Regulatory Subunit B'Delta","Protein Coding","44","GC06P073688","3.73386335372925","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R5D"
"FOXO4","Forkhead Box O4","Protein Coding","41","GC0XP071095","3.73196816444397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO4"
"SMC3","Structural Maintenance Of Chromosomes 3","Protein Coding","45","GC10P110567","3.7309718132019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC3"
"VCP","Valosin Containing Protein","Protein Coding","48","GC09M035056","3.72752952575684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"TBK1","TANK Binding Kinase 1","Protein Coding","48","GC12P064451","3.72507762908936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"SCN2A","Sodium Voltage-Gated Channel Alpha Subunit 2","Protein Coding","46","GC02P165194","3.72250080108643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN2A"
"AGRP","Agouti Related Neuropeptide","Protein Coding","41","GC16M067482","3.72245454788208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRP"
"OGA","O-GlcNAcase","Protein Coding","32","GC10M101785","3.72051596641541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGA"
"TRIM28","Tripartite Motif Containing 28","Protein Coding","42","GC19P058544","3.72003054618835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM28"
"PGK1","Phosphoglycerate Kinase 1","Protein Coding","46","GC0XP077968","3.7192554473877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK1"
"CCL11","C-C Motif Chemokine Ligand 11","Protein Coding","42","GC17P034285","3.71873617172241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11"
"ADCY8","Adenylate Cyclase 8","Protein Coding","44","GC08M130780","3.71615982055664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY8"
"DNM1","Dynamin 1","Protein Coding","49","GC09P128191","3.7102198600769","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1"
"ADORA1","Adenosine A1 Receptor","Protein Coding","46","GC01P203090","3.70593118667603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA1"
"ADRA2C","Adrenoceptor Alpha 2C","Protein Coding","45","GC04P003766","3.70190572738647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA2C"
"GLUL","Glutamate-Ammonia Ligase","Protein Coding","48","GC01M182378","3.69821929931641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUL"
"MYOG","Myogenin","Protein Coding","39","GC01M203083","3.69476580619812","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOG"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","48","GC01M155185","3.69346833229065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"PTHLH","Parathyroid Hormone Like Hormone","Protein Coding","45","GC12M027959","3.69298458099365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTHLH"
"MYO1C","Myosin IC","Protein Coding","42","GC17M001464","3.69259452819824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO1C"
"KLF4","Kruppel Like Factor 4","Protein Coding","44","GC09M107484","3.69036269187927","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF4"
"TGIF1","TGFB Induced Factor Homeobox 1","Protein Coding","45","GC18P003411","3.68940258026123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGIF1"
"TPMT","Thiopurine S-Methyltransferase","Protein Coding","46","GC06M018128","3.68899154663086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPMT"
"CBLB","Cbl Proto-Oncogene B","Protein Coding","44","GC03M105655","3.68364405632019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLB"
"CCDC28B","Coiled-Coil Domain Containing 28B","Protein Coding","36","GC01P032200","3.68006944656372","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC28B"
"SMAD4","SMAD Family Member 4","Protein Coding","49","GC18P051028","3.67533278465271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"SLC5A4","Solute Carrier Family 5 Member 4","Protein Coding","39","GC22M032218","3.67362284660339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A4"
"CDK16","Cyclin Dependent Kinase 16","Protein Coding","40","GC0XP047217","3.67352795600891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK16"
"GJD2","Gap Junction Protein Delta 2","Protein Coding","41","GC15M034751","3.66921901702881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJD2"
"TSPO","Translocator Protein","Protein Coding","42","GC22P043151","3.66456031799316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPO"
"CDC25C","Cell Division Cycle 25C","Protein Coding","47","GC05M138285","3.66316628456116","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25C"
"MBL2","Mannose Binding Lectin 2","Protein Coding","46","GC10M052760","3.66030120849609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"MIR423","MicroRNA 423","RNA Gene","19","GC17P030117","3.65855622291565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR423"
"DDC","Dopa Decarboxylase","Protein Coding","50","GC07M050458","3.65748953819275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDC"
"STK11","Serine/Threonine Kinase 11","Protein Coding","48","GC19P001177","3.65669775009155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"GNAQ","G Protein Subunit Alpha Q","Protein Coding","48","GC09M077716","3.65416073799133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ"
"MIR130A","MicroRNA 130a","RNA Gene","22","GC11P057641","3.65320634841919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130A"
"DES","Desmin","Protein Coding","46","GC02P219418","3.65134882926941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"USP7","Ubiquitin Specific Peptidase 7","Protein Coding","47","GC16M008892","3.65124940872192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP7"
"C2CD5","C2 Calcium Dependent Domain Containing 5","Protein Coding","32","GC12M022448","3.64930081367493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD5"
"LEMD2","LEM Domain Nuclear Envelope Protein 2","Protein Coding","38","GC06M059185","3.64802408218384","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEMD2"
"ANO1","Anoctamin 1","Protein Coding","41","GC11P069986","3.64669132232666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANO1"
"ATP1A1","ATPase Na+/K+ Transporting Subunit Alpha 1","Protein Coding","49","GC01P116372","3.64455962181091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1"
"JAK3","Janus Kinase 3","Protein Coding","50","GC19M017824","3.64178967475891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK3"
"KITLG","KIT Ligand","Protein Coding","44","GC12M088492","3.64115953445435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KITLG"
"GRN","Granulin Precursor","Protein Coding","47","GC17P044345","3.63689756393433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRN"
"OFD1","OFD1 Centriole And Centriolar Satellite Protein","Protein Coding","42","GC0XP013734","3.6336498260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OFD1"
"ALOX12","Arachidonate 12-Lipoxygenase, 12S Type","Protein Coding","43","GC17P006995","3.63149809837341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX12"
"PPP1R15B","Protein Phosphatase 1 Regulatory Subunit 15B","Protein Coding","37","GC01M204468","3.6304235458374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R15B"
"F9","Coagulation Factor IX","Protein Coding","47","GC0XP139530","3.62540030479431","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F9"
"UMOD","Uromodulin","Protein Coding","42","GC16M020344","3.62261772155762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UMOD"
"STX3","Syntaxin 3","Protein Coding","41","GC11P059713","3.6225528717041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX3"
"STEAP4","STEAP4 Metalloreductase","Protein Coding","40","GC07M088360","3.60186171531677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STEAP4"
"AURKA","Aurora Kinase A","Protein Coding","49","GC20M056370","3.60074925422668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKA"
"ZFAND3","Zinc Finger AN1-Type Containing 3","Protein Coding","37","GC06P073591","3.59954786300659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFAND3"
"KMT2A","Lysine Methyltransferase 2A","Protein Coding","44","GC11P118436","3.59698724746704","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A"
"CD2","CD2 Molecule","Protein Coding","42","GC01P116754","3.59579920768738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2"
"PUF60","Poly(U) Binding Splicing Factor 60","Protein Coding","41","GC08M143816","3.59469366073608","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUF60"
"IFNA2","Interferon Alpha 2","Protein Coding","41","GC09M021384","3.59360361099243","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA2"
"CTCF","CCCTC-Binding Factor","Protein Coding","46","GC16P067563","3.58920359611511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTCF"
"SOX2","SRY-Box Transcription Factor 2","Protein Coding","45","GC03P181711","3.58556604385376","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2"
"PDE4A","Phosphodiesterase 4A","Protein Coding","44","GC19P010416","3.58036231994629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE4A"
"PRKD1","Protein Kinase D1","Protein Coding","49","GC14M029576","3.5800940990448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKD1"
"PDHX","Pyruvate Dehydrogenase Complex Component X","Protein Coding","46","GC11P034894","3.57767152786255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHX"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","37","GC06P073594","3.57629823684692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"CRAT","Carnitine O-Acetyltransferase","Protein Coding","45","GC09M129094","3.57557582855225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRAT"
"HSD3B2","Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 2","Protein Coding","45","GC01P119414","3.56980133056641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD3B2"
"CYP11A1","Cytochrome P450 Family 11 Subfamily A Member 1","Protein Coding","48","GC15M074337","3.56594228744507","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP11A1"
"SLC6A14","Solute Carrier Family 6 Member 14","Protein Coding","42","GC0XP116436","3.56482744216919","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A14"
"MT-RNR1","Mitochondrially Encoded 12S RRNA","RNA Gene","16","GCMTP000642","3.56215047836304","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-RNR1"
"RAPGEF4","Rap Guanine Nucleotide Exchange Factor 4","Protein Coding","42","GC02P172735","3.55935955047607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAPGEF4"
"KHDRBS1","KH RNA Binding Domain Containing, Signal Transduction Associated 1","Protein Coding","42","GC01P032013","3.55872535705566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDRBS1"
"IL10RA","Interleukin 10 Receptor Subunit Alpha","Protein Coding","44","GC11P117987","3.55815076828003","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RA"
"HSPA8","Heat Shock Protein Family A (Hsp70) Member 8","Protein Coding","46","GC11M123057","3.55085897445679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8"
"MT-ND6","Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 6","Protein Coding","32","GCMTM014151","3.54858207702637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ND6"
"ACTN3","Actinin Alpha 3","Protein Coding","39","GC11P066546","3.54834485054016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN3"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","51","GC07M151053","3.54706048965454","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5"
"SATB2","SATB Homeobox 2","Protein Coding","44","GC02M199269","3.54650950431824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SATB2"
"NEK2","NIMA Related Kinase 2","Protein Coding","50","GC01M211658","3.5416738986969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK2"
"PSMB4","Proteasome 20S Subunit Beta 4","Protein Coding","44","GC01P151372","3.54102802276611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB4"
"BEST1","Bestrophin 1","Protein Coding","42","GC11P061949","3.53376150131226","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BEST1"
"NLGN2","Neuroligin 2","Protein Coding","40","GC17P010332","3.53161668777466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLGN2"
"AKT1S1","AKT1 Substrate 1","Protein Coding","38","GC19M049869","3.52701663970947","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1S1"
"ALDOB","Aldolase, Fructose-Bisphosphate B","Protein Coding","44","GC09M101420","3.52475357055664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOB"
"C2CD4A","C2 Calcium Dependent Domain Containing 4A","Protein Coding","30","GC15P062066","3.521803855896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD4A"
"MMP14","Matrix Metallopeptidase 14","Protein Coding","50","GC14P029949","3.52158379554749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14"
"MNX1","Motor Neuron And Pancreas Homeobox 1","Protein Coding","41","GC07M156994","3.51812648773193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MNX1"
"XRCC5","X-Ray Repair Cross Complementing 5","Protein Coding","43","GC02P216107","3.51328659057617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC5"
"EEF2","Eukaryotic Translation Elongation Factor 2","Protein Coding","47","GC19M003976","3.51193284988403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF2"
"CCN5","Cellular Communication Network Factor 5","Protein Coding","29","GC20P044715","3.51141047477722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN5"
"PHLPP1","PH Domain And Leucine Rich Repeat Protein Phosphatase 1","Protein Coding","39","GC18P062715","3.5074827671051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP1"
"POU5F1","POU Class 5 Homeobox 1","Protein Coding","45","GC06M059019","3.50293040275574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1"
"PXN","Paxillin","Protein Coding","44","GC12M120210","3.50092887878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXN"
"NOTCH1","Notch Receptor 1","Protein Coding","49","GC09M137103","3.49978494644165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"SERPINF1","Serpin Family F Member 1","Protein Coding","44","GC17P001761","3.49824213981628","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF1"
"PFKFB3","6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 3","Protein Coding","44","GC10P006144","3.49386763572693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKFB3"
"PRPH2","Peripherin 2","Protein Coding","39","GC06M059286","3.48677921295166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPH2"
"EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","47","GC02P047345","3.4864330291748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","50","GC03P030623","3.48547220230103","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"CD68","CD68 Molecule","Protein Coding","39","GC17P007579","3.48254370689392","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD68"
"FETUB","Fetuin B","Protein Coding","37","GC03P186635","3.48250150680542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FETUB"
"OPRK1","Opioid Receptor Kappa 1","Protein Coding","45","GC08M053227","3.48228096961975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRK1"
"PARD6A","Par-6 Family Cell Polarity Regulator Alpha","Protein Coding","41","GC16P067661","3.48098659515381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARD6A"
"GK","Glycerol Kinase","Protein Coding","46","GC0XP030913","3.47934365272522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GK"
"NR2F2","Nuclear Receptor Subfamily 2 Group F Member 2","Protein Coding","49","GC15P096325","3.4751296043396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F2"
"CISH","Cytokine Inducible SH2 Containing Protein","Protein Coding","45","GC03M050837","3.47439861297607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISH"
"FCGR2B","Fc Gamma Receptor IIb","Protein Coding","46","GC01P161663","3.4691469669342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2B"
"CD55","CD55 Molecule (Cromer Blood Group)","Protein Coding","46","GC01P207321","3.46793746948242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD55"
"VIM","Vimentin","Protein Coding","49","GC10P017227","3.46775054931641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM"
"NTF3","Neurotrophin 3","Protein Coding","41","GC12P005432","3.46245574951172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTF3"
"MSX1","Msh Homeobox 1","Protein Coding","45","GC04P004861","3.45939493179321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSX1"
"RELA","RELA Proto-Oncogene, NF-KB Subunit","Protein Coding","49","GC11M065653","3.45618772506714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA"
"INHBB","Inhibin Subunit Beta B","Protein Coding","42","GC02P120745","3.45342397689819","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBB"
"SLC47A1","Solute Carrier Family 47 Member 1","Protein Coding","41","GC17P019495","3.44541716575623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC47A1"
"AHI1-DT","AHI1 Divergent Transcript","RNA Gene","16","GC06P135498","3.44541716575623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHI1-DT"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","44","GC03P046356","3.44281649589539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"SMARCA2","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 2","Protein Coding","48","GC09P001980","3.44008898735046","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA2"
"TMPO","Thymopoietin","Protein Coding","45","GC12P098515","3.43289065361023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPO"
"BTK","Bruton Tyrosine Kinase","Protein Coding","51","GC0XM101349","3.43031167984009","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK"
"HTR1A","5-Hydroxytryptamine Receptor 1A","Protein Coding","46","GC05M063960","3.42954683303833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1A"
"BCAR1","BCAR1 Scaffold Protein, Cas Family Member","Protein Coding","43","GC16M075228","3.42702388763428","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAR1"
"LCK","LCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","51","GC01P032251","3.42647409439087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCK"
"PDGFA","Platelet Derived Growth Factor Subunit A","Protein Coding","43","GC07M000497","3.42038607597351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA"
"HSPB1","Heat Shock Protein Family B (Small) Member 1","Protein Coding","50","GC07P076302","3.41980862617493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1"
"RAB3A","RAB3A, Member RAS Oncogene Family","Protein Coding","42","GC19M018196","3.41866779327393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3A"
"RPGR","Retinitis Pigmentosa GTPase Regulator","Protein Coding","41","GC0XM038269","3.41560029983521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPGR"
"HBEGF","Heparin Binding EGF Like Growth Factor","Protein Coding","42","GC05M140332","3.40603446960449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBEGF"
"DRD1","Dopamine Receptor D1","Protein Coding","44","GC05M175440","3.39586639404297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD1"
"SMC1A","Structural Maintenance Of Chromosomes 1A","Protein Coding","45","GC0XM053374","3.3943338394165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMC1A"
"TBC1D1","TBC1 Domain Family Member 1","Protein Coding","39","GC04P037984","3.39017748832703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D1"
"H2AX","H2A.X Variant Histone","Protein Coding","35","GC11M119138","3.38603162765503","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AX"
"TOLLIP","Toll Interacting Protein","Protein Coding","42","GC11M001274","3.38256788253784","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOLLIP"
"RACK1","Receptor For Activated C Kinase 1","Protein Coding","36","GC05M181574","3.38040137290955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RACK1"
"RXRA","Retinoid X Receptor Alpha","Protein Coding","48","GC09P134317","3.3789234161377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","44","GC10P060772","3.36877584457397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"KDM5C","Lysine Demethylase 5C","Protein Coding","42","GC0XM053176","3.35692572593689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM5C"
"MAFB","MAF BZIP Transcription Factor B","Protein Coding","43","GC20M040685","3.35606122016907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFB"
"AKR1A1","Aldo-Keto Reductase Family 1 Member A1","Protein Coding","43","GC01P045550","3.35567498207092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1A1"
"PAK1","P21 (RAC1) Activated Kinase 1","Protein Coding","47","GC11M082711","3.34585452079773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK1"
"NRG1","Neuregulin 1","Protein Coding","46","GC08P031639","3.3424916267395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG1"
"FFAR4","Free Fatty Acid Receptor 4","Protein Coding","39","GC10P093566","3.33332014083862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR4"
"KCNJ1","Potassium Inwardly Rectifying Channel Subfamily J Member 1","Protein Coding","48","GC11M128741","3.33092617988586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ1"
"MAGEL2","MAGE Family Member L2","Protein Coding","37","GC15M023643","3.32553958892822","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEL2"
"MAP3K7","Mitogen-Activated Protein Kinase Kinase Kinase 7","Protein Coding","50","GC06M090513","3.3248462677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K7"
"PAEP","Progestagen Associated Endometrial Protein","Protein Coding","40","GC09P135561","3.32129073143005","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAEP"
"PRPF31","Pre-MRNA Processing Factor 31","Protein Coding","42","GC19P061093","3.31939840316772","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF31"
"ERCC2","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","Protein Coding","46","GC19M045349","3.31921935081482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2"
"MYCN","MYCN Proto-Oncogene, BHLH Transcription Factor","Protein Coding","45","GC02P015949","3.31587862968445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCN"
"NEDD4","NEDD4 E3 Ubiquitin Protein Ligase","Protein Coding","45","GC15M055826","3.31564855575562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD4"
"CFH","Complement Factor H","Protein Coding","46","GC01P196621","3.31521415710449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFH"
"MED12","Mediator Complex Subunit 12","Protein Coding","44","GC0XP071118","3.30783176422119","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED12"
"RPE65","Retinoid Isomerohydrolase RPE65","Protein Coding","44","GC01M068428","3.30686330795288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPE65"
